"filename", "language", "Java Properties", "Java", "comment", "blank", "total"
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\dto\UsuarioDTO.java", "Java", 0, 8, 0, 2, 10
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\exception\UsuarioNotFoundException.java", "Java", 0, 6, 0, 1, 7
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\model\Cita.java", "Java", 0, 38, 0, 13, 51
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\model\DisponibilidadSemanal.java", "Java", 0, 24, 0, 7, 31
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\model\ExcepcionHorario.java", "Java", 0, 27, 0, 9, 36
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\model\GaleriaNegocio.java", "Java", 0, 21, 0, 6, 27
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\model\Negocio.java", "Java", 0, 30, 0, 10, 40
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\model\Profesional.java", "Java", 0, 25, 0, 8, 33
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\model\ProfesionalServicio.java", "Java", 0, 19, 0, 4, 23
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\model\ProfesionalServicioId.java", "Java", 0, 23, 0, 7, 30
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\model\Promocion.java", "Java", 0, 28, 0, 10, 38
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\model\Resena.java", "Java", 0, 27, 0, 9, 36
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\model\Servicio.java", "Java", 0, 24, 0, 8, 32
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\model\Usuario.java", "Java", 0, 41, 0, 10, 51
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\CitaRepository.java", "Java", 0, 7, 0, 2, 9
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\DisponibilidadSemanalRepository.java", "Java", 0, 7, 0, 2, 9
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\ExcepcionHorarioRepository.java", "Java", 0, 7, 0, 2, 9
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\GaleriaNegocioRepository.java", "Java", 0, 7, 0, 2, 9
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\NegocioRepository.java", "Java", 0, 7, 0, 2, 9
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\ProfesionalRepository.java", "Java", 0, 7, 0, 2, 9
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\ProfesionalServicioRepository.java", "Java", 0, 8, 0, 2, 10
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\PromocionRepository.java", "Java", 0, 7, 0, 2, 9
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\ResenaRepository.java", "Java", 0, 7, 0, 2, 9
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\ServicioRepository.java", "Java", 0, 7, 0, 2, 9
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\repository\UsuarioRepository.java", "Java", 0, 9, 0, 3, 12
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\security\SecurityConfig.java", "Java", 0, 20, 0, 4, 24
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\service\CitaService.java", "Java", 0, 24, 0, 8, 32
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\service\DisponibilidadSemanalService.java", "Java", 0, 24, 0, 8, 32
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\service\ExcepcionHorarioService.java", "Java", 0, 24, 0, 8, 32
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\service\GaleriaNegocioService.java", "Java", 0, 24, 0, 8, 32
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\service\NegocioService.java", "Java", 0, 24, 0, 8, 32
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\service\ProfesionalService.java", "Java", 0, 24, 0, 8, 32
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\service\PromocionService.java", "Java", 0, 24, 0, 8, 32
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\service\ResenaService.java", "Java", 0, 24, 0, 8, 32
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\service\ServicioService.java", "Java", 0, 24, 0, 8, 32
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\java\com\turnix\turnix_backend\service\UsuarioService.java", "Java", 0, 40, 1, 11, 52
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\main\resources\application.properties", "Java Properties", 5, 0, 1, 2, 8
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\test\java\com\turnix\turnix_backend\TurnixBackendApplicationTests.java", "Java", 0, 9, 0, 5, 14
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\test\java\com\turnix\turnix_backend\controller\UsuarioControllerTest.java", "Java", 0, 43, 0, 11, 54
"c:\Users\GRLL\Documents\CICLO VIII\SOLUCIONES WEB Y APLI. DIST. - 8104\PROYECTO FINAL\turnix-backend\src\test\java\com\turnix\turnix_backend\service\UsuarioServiceTest.java", "Java", 0, 21, 0, 7, 28
"Total", "-", 5, 1123, 2, 329, 1459
